Nokia 6;8,29;16,58
Nokia 8;8,18;16,36
Nokia 3310;6,21;12,38
HTC One M8;7,9;15,81
HTC Desire 626;7,9;15,81
HTC Desire 820;8,5;17
Iphone 5/5s/se;6,91;13,76
iphone 6/6s;7,5;15,01
iphone 7;7,4;14,8
iphone 7 plus;8,5;17
sony xperia z3;7,9;15,8
sony xperia m4 aqua;7,9;15,77
sony xperia l1;8,18;16,36
sony xperia xa1;7,9;15,81
lg g4;8,29;16,62
lg g6;8,1;16,19
lg q6;7,6;15,2
lg k8 2017;7,9;15,8
lg k10 2017;8,15;16,3
lg x power;8;16
lg x power 2;8,3;16,6
xiaomi redmi 4a;7,58;15,24
xiaomi redmi 4x;7,58;15,2
xiaomi redmi note 4/ note 4x;8,2;16,4
samsung galaxy a3 2017;7,3;14,6
samsung galaxy a5 2016;7,9;15,81
samsung galaxy a5 2017;7,9;18,8
samsung galaxy a7 2017;8,5;17
samsung galaxy j3 2016;7,6;15,2
samsung galaxy j5 2016;7,8;15,59
samsung galaxy j5 2017/ j5 pro;7,9;15,8
samsung galaxy j7 2016;8,15;16,3
samsung galaxy j7 2017 / j7 pro;8,18;16,4
samsung galaxy xcover 4;7,9;15,8
samsung galaxy grand prime;7,9;15,8
samsung galaxy s6 edge;7,6;15,2
samsung galaxy s7;7,69;15,38
samsung galaxy s7 edge;8,1;16,2
samsung galaxy s8;8;15,99
samsung galaxy s8 plus;8,6;17,2
lenovo p2;8,29;16,62
lenovo vibe k5;7,6;15,21
lenovo k6;7,7;15,4
lenovo k6 note;8,18;16,4
lenovo k6 power;7,6;15,21
lenovo motorola moto g4/g4 plus;8;16
lenovo motorola moto g5 plus/x 2017;8,05;16,1
huawei y5 2;7,8;15,59
huawei honor 9;8,01;16,02
huawei mate 9 pro;8,15;16,3
huawei p8 lite 2017/p9 lite 2017/nova lite;7,9;15,8
huawei p10;7,9;15,8
huawei p10 lite;7,9;15,8
